APV,34.575,-117.186,"Apple Valley"
APW,-13.830,-172.008,"Faleolo"
APX,-23.353,-51.492,"Arapongas"
APY,-9.084,-45.951,"Alto Parnaiba"
APZ,-38.975,-70.114,"Zapala"
AQA,-21.812,-48.133,"Araraquara"
AQB,15.012,-91.151,"Quiche"
AQG,30.582,117.050,"Anqing Tianzhushan/A North"
AQI,28.335,46.125,"Al Qaisumah/Hafr Al Batin"
AQJ,29.612,35.018,"Aqaba King Hussein"
AQM,-9.880,-63.047,"Ariquemes"
AQP,-16.341,-71.583,"Rodriguez Ballon"
AQY,60.969,-149.120,"Girdwood-Alyeska"
ARA,30.038,-91.884,"Acadiana Regional"
ARB,42.223,-83.746,"Ann Arbor Muni"
ARC,68.115,-145.579,"Arctic Village"
ARD,-8.132,124.597,"Alor Island/Mali"
ARE,18.451,-66.676,"Antonio Nery Juarbe Pol"
ARF,0.533,-70.133,"Acaricuara"
ARG,36.125,-90.925,"Walnut Ridge Regional"
ARH,64.600,40.717,"Talagi"
ARI,-18.348,-70.339,"Chacalluta"
ARK,-3.368,36.633,"Arusha"
ARL,11.597,1.483,"Arly"
ARM,-30.528,151.617,"Armidale"
ARN,59.652,17.919,"Stockholm-Arlanda"
ARO,8.855,-76.423,"Arboletes"
ARP,-9.883,149.483,"Aragip"
ARQ,7.021,-71.389,"El Troncal"
ARR,-45.014,-70.812,"Casimiro Szlapelis"
ARS,-15.899,-52.241,"Aragarcas"
ART,43.992,-76.022,"Watertown"
ARU,-21.141,-50.425,"Aracatuba"
ARV,45.928,-89.731,"Lakeland-Noble Lee Memorial"
ARW,46.177,21.262,"Arad"
ARX,-4.569,-37.805,"Aracati Dragao do Mar"
ARY,-37.310,142.989,"Ararat"
ARZ,-7.259,12.863,"N'zeto"
ASA,13.072,42.645,"Assab"
ASB,37.987,58.361,"Ashgabat"
ASC,-15.930,-63.157,"Ascencion De Guarayos"
ASD,24.698,-77.796,"Andros Town"
ASE,39.223,-106.869,"Aspen-Pitkin County/Sardy"
ASF,46.283,48.011,"Astrakhan N Boris Kustodiev"
ASG,-43.903,171.797,"Ashburton Aerodrome"
ASH,42.782,-71.515,"Nashua/Boire"
ASI,-7.970,-14.394,"RAF Ascension Island"
ASJ,28.431,129.713,"Amami"
ASK,6.903,-5.366,"Yamoussoukro"
ASL,32.521,-94.308,"Harrison County"
ASM,15.292,38.911,"Asmara"
ASN,33.570,-86.051,"Talladega Muni"
ASO,10.019,34.586,"Asosa"
ASP,-23.807,133.903,"Alice Springs"
ASQ,39.468,-117.198,"Austin"
ASR,38.770,35.495,"Kayseri Erkilet"
AST,46.158,-123.879,"Astoria Regional"
ASU,-25.242,-57.514,"Silvio Pettirossi"
ASV,-2.645,37.253,"Amboseli"
ASW,23.968,32.824,"Aswan"
ASX,46.549,-90.919,"John F Kennedy Memorial"
ASY,46.024,-99.353,"Ashley Muni"
