AKF,1cc196bea1ced6be,"Kufra"
AKG,4e7e4bd14bed7b71,"Anguganak"
AKH,2ce9f695e7661707,"Prince Sultan"
AKI,326c33898a0f6346,"Akiak"
AKJ,31d70d0df6124aec,"Asahikawa"
AKK,32564acfa675208c,"Akhiok"
AKL,481d327afe1736ff,"Auckland"
AKM,1bac14f7a2612910,"Zakuoma"
AKN,3259a28d5fd0df73,"King Salmon"
AKO,5f6405426fd65e8b,"Colorado Plains Regional"
AKP,3454f4e558b16272,"Anaktuvuk Pass"
AKQ,2751089b76cafbdc,"Gunung Batin"
AKR,199069a7f9481877,"Akure"
AKS,4b6b43c39ee58070,"Gwaunaru'u"
AKT,1de1644fcd0240b8,"RAF Akrotiri"
AKU,2f967e0e381140a4,"Aksu Hongqipo"
AKV,39229327dfc1ecf9,"Akulivik"
AKW,2dec41d492bf656e,"Aghajari"
AKX,3bee1fb12fbc9808,"Aktobe"
AKY,2b7d7f70b506190d,"Sittwe"
ALA,2f9bdd94b11cc7fa,"Almaty"
ALB,5faa563d20503ac3,"Albany"
ALC,17eef9acedd460de,"Alicante-Elche Hernandez"
ALD,55bbe99446f0061a,"Alerta"
ALE,5d5ba1f9edca3e03,"Alpine Casparis Muni"
ALF,3b9983bcc52b494b,"Alta"
ALG,18e8b2b83e0834a5,"Houari Boumediene"
ALH,2138ac99f74df0e0,"Albany"
ALI,5d639d91837705d8,"Alice"
ALJ,1a2d94ded86bbe1e,"Alexander Bay"
ALL,19f2d763cadf3c0d,"Villanova D'Albenga"
ALM,5e516b0460e71d87,"Alamogordo White Sands"
ALN,5f71f2ef2af57306,"St Louis Regional"
ALO,5f79af6b61391c7f,"Waterloo Regional"
ALP,1de8a9675e1e71db,"Aleppo"
ALQ,52d687357067eb2c,"Alegrete Novo"
ALR,6092739ca12ca732,"Alexandra Aerodrome"
ALS,5e5d8991a8b40a1c,"San Luis Valley/Bergman"
ALT,57e98f7cc28e2719,"Alenquer Muni"
ALU,2af50414505db228,"Caluula"
ALW,3414141d3b61ecba,"Walla Walla Regional"
ALX,5e81aeb6842164b7,"Thomas C Russell"
AMA,5e671eedd2ccf2d8,"Rick Husband Amarillo"
AMB,25f63fb629041a8d,"Ambilobe"
AMC,1bad2964c90cabd8,"Am Timan"
AMD,2cb618cd11260802,"Sardar Vallabh Bhai Patel"
AME,1e4af99e7fb63e06,"Alto Molocue"
AMF,4e7f3f2b49031bc7,"Ama"
AMH,1e9d2de1b70f9ebb,"Arba Minch"
AMI,2635134a0b9f1616,"Selaparang"
AMJ,104edad7b08f68a9,"Cirilo Queiroz"
AMK,5e5c3fac6391889e,"Animas Air Park"
AML,59996d4c04dbc446,"Puerto Armuelles"
AMM,1ddaeab8805c5506,"Queen Alia"
AMN,5f8bcc31b30c3460,"Gratiot Community"
AMO,1aaeb6f06a1596b4,"Mao"
AMP,1f334ec260dc32cd,"Ampanihy"
AMQ,2714059d061e54b2,"Pattimura"
AMS,3e8e9c31acfeeefc,"Amsterdam Schiphol"
AMT,23104ccd6480985f,"Amata"
AMU,4f7142cc08d2b860,"Amanab"
AMV,39be706021094f05,"Amderma"
AMW,5f787a78929ce1b7,"Ames Muni"
AMX,4f36d8508b48d19f,"Ammaroo"
AMY,24f985b6074717ec,"Ambatomainty"
AMZ,481c3b71387f23a7,"Ardmore"
ANA,1e77cb002726b5d3,"Angama"
ANB,5e83aaeda2041702,"Anniston Regional"
ANC,3354402710540ebd,"Ted Stevens Anchorage"
AND,5e9620fc9b7e1a9f,"Anderson Regional"
ANE,3f7af959571c7549,"Angers-Loire"
ANF,53b876a25752e71c,"Andres Sabella Galvez"
ANG,3f8e0c7bd63d31cb,"Angouleme-Brie-Champniers"
ANI,326e1dbdca0ad97c,"Aniak"
ANJ,1a7b720dfb46075c,"Zanaga"
ANK,1cfb32c766d88f63,"Etimesgut"
ANL,1b53c036a5923087,"Andulo"
ANM,25e1f7b11d51df6b,"Antsirabe"
